# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100012   20043   20063     -2.94      1324    1086
    2    0.030001   19930   19910     -2.82       981     908
    3    0.0500007   20071   19829      -2.7      1349    1284
    4    0.0700007   19991   20055     -2.58      1715    1699
    5    0.0900003   20035   20012     -2.46      2444    2273
    6     0.11   20014   20164     -2.34      3126    3173
    7     0.13   20075   19821     -2.22      4109    4135
    8     0.15   20035   20128      -2.1      5189    5339
    9     0.17   19873   19887     -1.98      6727    6755
   10     0.19   20188   19911     -1.86      8501    8542
   11     0.21   19667   19888     -1.74     10537   10536
   12     0.23   20027   20062     -1.62     12883   12852
   13     0.25   20141   20267      -1.5     15681   15640
   14     0.27   19878   20071     -1.38     18641   18554
   15     0.29   19887   20114     -1.26     21517   21836
   16     0.31   20091   20131     -1.14     24889   24837
   17     0.33   20178   19971     -1.02     28259   28302
   18     0.35   20129   19816      -0.9     31909   32179
   19     0.37   19978   20285     -0.78     35571   35301
   20     0.39   20055   19930     -0.66     38622   38326
   21     0.41   20009   20026     -0.54     41230   41216
   22     0.43   19995   19895     -0.42     43733   43934
   23     0.45   19999   19936      -0.3     45397   45701
   24     0.47   19824   19914     -0.18     47250   47142
   25     0.49   20006   20031     -0.06     47961   47350
   26     0.51   20197   20132      0.06     47857   47625
   27     0.53   20057   20161      0.18     46850   47515
   28     0.55   20169   20062       0.3     45906   45986
   29     0.57   20025   20100      0.42     43819   43972
   30     0.59   20074   19920      0.54     41267   41583
   31     0.61   20065   20201      0.66     38436   38436
   32     0.63   19683   20132      0.78     35308   35100
   33     0.65   20054   20023       0.9     31876   32118
   34     0.67   20260   19836      1.02     28257   28161
   35     0.69   20030   19861      1.14     25100   24909
   36     0.71   20007   19897      1.26     21722   21572
   37     0.73   19905   20110      1.38     18493   18551
   38     0.75   19837   19904       1.5     15616   15599
   39     0.77   19674   19786      1.62     13036   12884
   40     0.79   20009   20154      1.74     10640   10630
   41     0.81   20005   19996      1.86      8423    8356
   42     0.83   19925   20187      1.98      6628    6643
   43     0.85   19967   19788       2.1      5375    5392
   44     0.87   19970   19937      2.22      4089    3939
   45     0.89   19850   19821     2.34001      3185    3045
   46     0.91   20110   19959     2.46002      2427    2331
   47     0.93   20119   20104     2.58004      1652    1830
   48     0.95   19934   19799     2.70013      1303    1293
   49     0.97   20107   20116     2.82026       913     908
   50     0.99   19848   19897     2.94059       649     764
